symbol,last_trade_datetime_utc
YMM4,2024-06-22 00:00:00
YMU4,2024-09-21 00:00:00
YMZ4,2024-12-21 00:00:00
YMH5,2025-03-22 00:00:00
YMM5,2025-06-21 00:00:00
YMU5,2025-09-20 00:00:00
YMZ5,2025-12-20 00:00:00
YMH6,2026-03-21 00:00:00
YMM6,2026-06-18 13:30:00
YMU6,2026-09-18 13:30:00
YMZ6,2026-12-18 14:30:00
YMH7,2027-03-19 13:30:00
